workload,n,noise,seed,mode,cycles_to_thresh,final_fidelity
W6_6q,6,Z_kick_mid,12545823730255562406,PAIR_BLOCK,14,0.09536992377237996
W6_6q,6,Z_kick_mid,15681340806107330922,OFF,5,0.8928750331030245
W6_6q,6,Z_kick_mid,15681340806107330922,SINGLE_BLOCK,6,0.8925811108215327
W6_6q,6,Z_kick_mid,15681340806107330922,PAIR_BLOCK,16,0.3050417541200133
W6_6q,6,Z_kick_mid,8740444272463140573,OFF,4,0.8761197422387185
W6_6q,6,Z_kick_mid,8740444272463140573,SINGLE_BLOCK,13,0.8988630000584668
W6_6q,6,Z_kick_mid,8740444272463140573,PAIR_BLOCK,16,0.13167786675100723
W6_6q,6,Z_kick_mid,1107982276148433736,OFF,6,0.8845510405808232
W6_6q,6,Z_kick_mid,1107982276148433736,SINGLE_BLOCK,7,0.8435309630954023
W6_6q,6,Z_kick_mid,1107982276148433736,PAIR_BLOCK,15,0.8834464755528052
W6_6q,6,Z_kick_mid,1462230013316180641,OFF,5,0.8923434726800819
W6_6q,6,Z_kick_mid,1462230013316180641,SINGLE_BLOCK,7,0.8777728820736734
W6_6q,6,Z_kick_mid,1462230013316180641,PAIR_BLOCK,14,0.7918766832078956
W6_6q,6,Z_kick_mid,10281407247644603590,OFF,7,0.8894367763449287
W6_6q,6,Z_kick_mid,10281407247644603590,SINGLE_BLOCK,10,0.8912059822162166
W6_6q,6,Z_kick_mid,10281407247644603590,PAIR_BLOCK,16,0.0034662622034739255
W6_6q,6,Z_kick_mid,12355266267284443346,OFF,2,0.8910178871398928
W6_6q,6,Z_kick_mid,12355266267284443346,SINGLE_BLOCK,3,0.8475731844476625
W6_6q,6,Z_kick_mid,12355266267284443346,PAIR_BLOCK,14,0.7227394385258854
W6_6q,6,Z_kick_mid,546890017315397423,OFF,4,0.8878617457827532
W6_6q,6,Z_kick_mid,546890017315397423,SINGLE_BLOCK,7,0.8662314825555282
W6_6q,6,Z_kick_mid,546890017315397423,PAIR_BLOCK,14,0.7551797443218341
W6_6q,6,Z_kick_mid,9540962175261441404,OFF,3,0.8664213118235586
W6_6q,6,Z_kick_mid,9540962175261441404,SINGLE_BLOCK,16,0.35559464606638924
W6_6q,6,Z_kick_mid,9540962175261441404,PAIR_BLOCK,16,0.00010881786550371603
W6_6q,6,Z_kick_mid,14279866187320638032,OFF,5,0.8685448134567658
W6_6q,6,Z_kick_mid,14279866187320638032,SINGLE_BLOCK,5,0.8640586175587882
W6_6q,6,Z_kick_mid,14279866187320638032,PAIR_BLOCK,12,0.861283051284931
W6_6q,6,Z_kick_mid,3544439630022119840,OFF,7,0.7431349495697891
W6_6q,6,Z_kick_mid,3544439630022119840,SINGLE_BLOCK,7,0.7749044950104413
W6_6q,6,Z_kick_mid,3544439630022119840,PAIR_BLOCK,14,0.8187171803185295
W6_6q,6,Z_kick_mid,17971954692694143950,OFF,10,0.8894834542378535
W6_6q,6,Z_kick_mid,17971954692694143950,SINGLE_BLOCK,14,0.898667867173867
W6_6q,6,Z_kick_mid,17971954692694143950,PAIR_BLOCK,16,0.00013022028268944977
W6_6q,6,Z_kick_mid,398864788308257007,OFF,3,0.8807857205313498
W6_6q,6,Z_kick_mid,398864788308257007,SINGLE_BLOCK,16,0.2556236010011468
W6_6q,6,Z_kick_mid,398864788308257007,PAIR_BLOCK,14,0.6700779629629973
W6_6q,6,Z_kick_mid,7703771788303387480,OFF,5,0.8915589539511597
W6_6q,6,Z_kick_mid,7703771788303387480,SINGLE_BLOCK,6,0.8852013455735686
W6_6q,6,Z_kick_mid,7703771788303387480,PAIR_BLOCK,14,0.43200020974847736
W6_6q,6,Z_kick_mid,8097801401776802893,OFF,7,0.8928797868289367
W6_6q,6,Z_kick_mid,8097801401776802893,SINGLE_BLOCK,14,0.8746848243623032
W6_6q,6,Z_kick_mid,8097801401776802893,PAIR_BLOCK,14,0.7894748714464447
W6_6q,6,Z_kick_mid,15217062527004542881,OFF,3,0.8751702156101187
W6_6q,6,Z_kick_mid,15217062527004542881,SINGLE_BLOCK,14,0.8620335708922207
W6_6q,6,Z_kick_mid,15217062527004542881,PAIR_BLOCK,14,0.8871853654084988
W6_6q,6,Z_kick_mid,10175420375117276931,OFF,5,0.8730361779557674
W6_6q,6,Z_kick_mid,10175420375117276931,SINGLE_BLOCK,5,0.8912902403803663
W6_6q,6,Z_kick_mid,10175420375117276931,PAIR_BLOCK,13,0.8813781015212467
W6_6q,6,Z_kick_mid,15426466875266893573,OFF,8,0.8392758671153353
W6_6q,6,Z_kick_mid,15426466875266893573,SINGLE_BLOCK,8,0.8652916089266154
W6_6q,6,Z_kick_mid,15426466875266893573,PAIR_BLOCK,14,0.8387521326578274
W6_6q,6,Z_kick_mid,16697267487600633044,OFF,9,0.8665851743554465
W6_6q,6,Z_kick_mid,16697267487600633044,SINGLE_BLOCK,11,0.8816129993613306
W6_6q,6,Z_kick_mid,16697267487600633044,PAIR_BLOCK,14,0.6052016407073912
W6_6q,6,Z_kick_mid,159800869206419492,OFF,4,0.8821790270248091
W6_6q,6,Z_kick_mid,159800869206419492,SINGLE_BLOCK,6,0.8613827665939222
W6_6q,6,Z_kick_mid,159800869206419492,PAIR_BLOCK,16,0.043316904913318674
W6_6q,6,Z_kick_mid,2366009911066430885,OFF,4,0.8679559011199168
W6_6q,6,Z_kick_mid,2366009911066430885,SINGLE_BLOCK,10,0.8985145584688509
W6_6q,6,Z_kick_mid,2366009911066430885,PAIR_BLOCK,14,0.7521596423274745
W6_6q,6,Z_kick_mid,3960677781839851573,OFF,3,0.8675206022928517
W6_6q,6,Z_kick_mid,3960677781839851573,SINGLE_BLOCK,3,0.8843714889449821
W6_6q,6,Z_kick_mid,3960677781839851573,PAIR_BLOCK,12,0.8974815165307941
W6_6q,6,Z_kick_mid,10002062250300385477,OFF,5,0.8668340454442215
W6_6q,6,Z_kick_mid,10002062250300385477,SINGLE_BLOCK,11,0.8987827307096811
W6_6q,6,Z_kick_mid,10002062250300385477,PAIR_BLOCK,14,0.8469695844206427
W6_6q,6,Z_kick_mid,9213907275563297927,OFF,5,0.8899804794331879
W6_6q,6,Z_kick_mid,9213907275563297927,SINGLE_BLOCK,9,0.8977076961077659
W6_6q,6,Z_kick_mid,9213907275563297927,PAIR_BLOCK,14,0.8785635369570117
W6_6q,6,Z_kick_mid,12570246308764912368,OFF,4,0.8988179245435507
W6_6q,6,Z_kick_mid,12570246308764912368,SINGLE_BLOCK,16,0.6127277244693516
W6_6q,6,Z_kick_mid,12570246308764912368,PAIR_BLOCK,16,0.22846782012394617
W6_6q,6,Z_kick_mid,2373136579601915658,OFF,7,0.8632488964414553
W6_6q,6,Z_kick_mid,2373136579601915658,SINGLE_BLOCK,7,0.8857277238151596
W6_6q,6,Z_kick_mid,2373136579601915658,PAIR_BLOCK,15,0.8957539276253104
W6_6q,6,Z_kick_mid,3116782449121779850,OFF,5,0.8862245067355959
W6_6q,6,Z_kick_mid,3116782449121779850,SINGLE_BLOCK,6,0.8685905078915593
W6_6q,6,Z_kick_mid,3116782449121779850,PAIR_BLOCK,14,0.42717948300016334
W6_6q,6,Z_kick_mid,6202385157387379794,OFF,3,0.8657717049113614
W6_6q,6,Z_kick_mid,6202385157387379794,SINGLE_BLOCK,3,0.861670512130608
W6_6q,6,Z_kick_mid,6202385157387379794,PAIR_BLOCK,15,0.8891745412543742
W6_6q,6,Z_kick_mid,14558615553131720923,OFF,8,0.8244583973561461
W6_6q,6,Z_kick_mid,14558615553131720923,SINGLE_BLOCK,8,0.853629833329427
W6_6q,6,Z_kick_mid,14558615553131720923,PAIR_BLOCK,14,0.84480924995323
W6_6q,6,Z_kick_mid,5280117196138248370,OFF,15,0.8702777505881559
W6_6q,6,Z_kick_mid,5280117196138248370,SINGLE_BLOCK,14,0.7283028411738394
W6_6q,6,Z_kick_mid,5280117196138248370,PAIR_BLOCK,13,0.8727116827736053
W6_6q,6,Z_kick_mid,13574290480889969495,OFF,8,0.8754866519131858
W6_6q,6,Z_kick_mid,13574290480889969495,SINGLE_BLOCK,13,0.8684000366336565
W6_6q,6,Z_kick_mid,13574290480889969495,PAIR_BLOCK,16,0.0014717845794384665
W6_6q,6,Z_kick_mid,15933027284109794209,OFF,4,0.876325438299787
W6_6q,6,Z_kick_mid,15933027284109794209,SINGLE_BLOCK,11,0.8990208142863537
W6_6q,6,Z_kick_mid,15933027284109794209,PAIR_BLOCK,14,0.7869699170448174
W6_6q,6,Z_kick_mid,5644819938811831637,OFF,5,0.8994457839431711
W6_6q,6,Z_kick_mid,5644819938811831637,SINGLE_BLOCK,11,0.8521676556929917
W6_6q,6,Z_kick_mid,5644819938811831637,PAIR_BLOCK,13,0.8006882987895961
